1, 49, 53, 102
2, 51, 55, 106
3, 54, 59, 113
4, 48, 51, 99
5, 44, 51, 95
6, 43, 58, 101
7, 49, 52, 101
8, 46, 61, 107
9, 43, 56, 99
10, 51, 61, 112
11, 47, 50, 97
12, 45, 49, 94
13, 48, 53, 101
14, 50, 55, 105
15, 44, 49, 93
16, 59, 46, 105
17, 46, 52, 98
18, 54, 47, 101
19, 51, 41, 92
20, 49, 40, 89
21, 44, 41, 85
22, 41, 33, 74
23, 52, 38, 90
24, 42, 29, 71
25, 35, 22, 57
26, 42, 38, 80
27, 32, 26, 58
28, 37, 21, 58
29, 28, 28, 56
30, 27, 31, 58
31, 30, 28, 58
32, 26, 32, 58
33, 15, 32, 47
34, 23, 30, 53
35, 21, 33, 54
36, 16, 30, 46
37, 20, 29, 49
38, 25, 34, 59
39, 16, 39, 55
40, 16, 33, 49
41, 20, 36, 56
42, 24, 25, 49
43, 22, 34, 56
44, 25, 33, 58
45, 23, 30, 53
46, 20, 33, 53
47, 16, 25, 41
48, 16, 29, 45
49, 23, 30, 53
50, 22, 29, 51
51, 17, 29, 46
52, 26, 23, 49
53, 22, 25, 47
54, 26, 22, 48
55, 13, 28, 41
56, 22, 26, 48
57, 24, 21, 45
58, 21, 28, 49
59, 23, 27, 50
60, 24, 21, 45
61, 13, 23, 36
62, 22, 25, 47
63, 25, 19, 44
64, 26, 22, 48
65, 25, 27, 52
66, 17, 18, 35
67, 15, 23, 38
68, 18, 16, 34
69, 22, 25, 47
70, 22, 13, 35
71, 14, 18, 32
72, 20, 10, 30
73, 21, 14, 35
74, 23, 8, 31
75, 24, 10, 34
76, 25, 21, 46
77, 26, 7, 33
78, 22, 15, 37
79, 15, 9, 24
80, 17, 9, 26
81, 18, 16, 34
82, 15, 13, 28
83, 15, 13, 28
84, 16, 6, 22
85, 19, 8, 27
86, 17, 11, 28
87, 19, 12, 31
88, 20, 13, 33
89, 18, 12, 30
90, 17, 12, 29
91, 20, 7, 27
92, 19, 5, 24
93, 28, 9, 37
94, 21, 8, 29
95, 21, 13, 34
96, 14, 8, 22
97, 23, 3, 26
98, 20, 10, 30
99, 20, 7, 27
100, 19, 9, 28
----------------------51, 24, 31, 55
52, 19, 23, 42
53, 23, 27, 50
54, 24, 22, 46
55, 27, 25, 52
56, 20, 22, 42
57, 25, 25, 50
58, 26, 26, 52
59, 18, 22, 40
60, 22, 24, 46
61, 26, 23, 49
62, 22, 19, 41
63, 22, 28, 50
64, 25, 24, 49
65, 24, 17, 41
66, 27, 25, 52
67, 20, 16, 36
68, 29, 18, 47
69, 28, 19, 47
70, 17, 24, 41
71, 17, 16, 33
72, 20, 17, 37
73, 14, 10, 24
74, 22, 16, 38
75, 13, 11, 24
76, 13, 15, 28
77, 22, 13, 35
78, 18, 16, 34
79, 14, 11, 25
80, 18, 9, 27
81, 24, 22, 46
82, 18, 17, 35
83, 20, 8, 28
84, 17, 13, 30
85, 22, 13, 35
86, 9, 10, 19
87, 21, 12, 33
88, 18, 6, 24
89, 20, 11, 31
90, 23, 10, 33
91, 19, 6, 25
92, 28, 12, 40
93, 21, 14, 35
94, 29, 13, 42
95, 29, 11, 40
96, 31, 13, 44
97, 22, 10, 32
98, 23, 8, 31
99, 21, 14, 35
100, 17, 6, 23
