1, 53, 59, 112
2, 40, 58, 98
3, 42, 59, 101
4, 50, 59, 109
5, 48, 56, 104
6, 55, 59, 114
7, 47, 58, 105
8, 51, 47, 98
9, 56, 56, 112
10, 59, 55, 114
11, 57, 51, 108
12, 45, 54, 99
13, 44, 45, 89
14, 54, 43, 97
15, 44, 49, 93
16, 50, 47, 97
17, 44, 46, 90
18, 57, 39, 96
19, 51, 40, 91
20, 47, 47, 94
21, 50, 29, 79
22, 47, 33, 80
23, 37, 25, 62
24, 43, 29, 72
25, 49, 31, 80
26, 36, 29, 65
27, 33, 28, 61
28, 32, 26, 58
29, 34, 28, 62
30, 26, 30, 56
31, 23, 27, 50
32, 38, 41, 79
33, 24, 28, 52
34, 24, 34, 58
35, 17, 32, 49
36, 21, 29, 50
37, 23, 28, 51
38, 30, 32, 62
39, 21, 24, 45
40, 14, 27, 41
41, 17, 28, 45
42, 24, 32, 56
43, 24, 36, 60
44, 17, 29, 46
45, 17, 39, 56
46, 20, 33, 53
47, 22, 26, 48
48, 20, 29, 49
49, 24, 22, 46
50, 21, 19, 40
51, 25, 21, 46
52, 23, 31, 54
53, 32, 28, 60
54, 23, 21, 44
55, 22, 30, 52
56, 18, 22, 40
57, 24, 22, 46
58, 14, 25, 39
59, 19, 26, 45
60, 24, 18, 42
61, 21, 33, 54
62, 19, 25, 44
